Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1983,26.67,27.03,30.57,33.3,39.3,42.16,42.49,37.26,39.43,34.96,29.98,26.76,34.2
1984,25.85,27.89,33.96,39.16,40.12,43.19,41.45,42.31,38.53,35.26,31.21,28.93,35.67
1985,28.44,29.88,35.02,36.61,40.66,42.44,39.93,38.52,37.12,34.63,30.9,26.86,35.11
1986,25.31,26.73,31.94,36.84,40.04,38.63,38.66,36.15,37.25,35.83,31.39,26.42,33.8
1987,27.74,29.77,31.81,36.53,38.51,42.06,41.99,39.89,37.66,35.7,31.81,27.04,35.06
1988,27.58,28.42,33.9,37.53,41.6,44.13,34.21,37.97,38.21,35.02,31.73,29.3,34.97
1989,26.52,29.31,30.73,35.34,40.84,41.68,37.88,41.22,36.96,35.97,33.19,27.87,34.82
1990,27.96,28.2,32.96,37.76,39.81,42.46,41.84,41.17,38.79,35.53,31.92,29.5,35.7
1991,29.67,29.42,33.35,38.07,41.54,42.36,43.13,40.05,37.25,34.67,31.22,28.79,35.83
1992,25.83,28.24,31.01,34.19,41.38,41.77,40.78,38.54,37.24,34.32,31.94,28.94,34.53
1993,27.82,31.12,31.96,35.39,40,41.55,44,42.87,39.3,35.85,32.79,29.45,36.03
1994,28.36,30.23,32.46,35.68,40.4,42.68,42.48,41.49,39.47,35.63,32.83,29.06,35.93
1995,29.61,29.83,30.8,33.67,40.63,42.63,40.92,38.06,38.61,36.23,31.94,27.87,35.09
1996,27.63,29.72,31.91,36.97,38.96,37.75,40.87,39.77,39.11,35.47,31.82,28.2,34.86
1997,26.77,31.31,30.27,33.2,40.55,40.2,43.62,43.81,40.23,36.41,30.95,28.68,35.53
1998,27.88,28.98,34.01,37,41.79,43.01,42.03,37.53,38.56,35.5,32.37,29.87,35.74
1999,27.6,28.51,31.78,37.83,41.38,42.59,40.29,41.12,36.65,34.99,33.22,29,35.45
2000,27.7,28.79,31.99,36.81,41.3,40.92,38.85,38.34,36.83,34.14,31.59,28.5,34.66
2001,26.13,29.37,32.57,37.52,41.25,42.18,40.49,38.96,37.96,36.29,31.7,29.74,35.37
2002,26.7,27.84,33.27,36.44,39.53,40.89,40.49,39.49,37.01,36.36,31.33,28.77,34.88
2003,27.27,28.48,31.64,35.3,39.65,42.65,37.07,39.43,38.11,35.34,31.99,27.94,34.6
2004,26.05,28.82,33.49,37.13,39.58,40.54,38.4,37.26,34.35,35.25,31.97,27.66,34.22
2005,26.03,27.9,31.79,35.18,37.36,42.23,38.64,40.59,36.13,34.44,31.34,28.18,34.18
