Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1983,15.36,15.93,19.1,21.75,26.04,27.88,28.58,27.52,25.82,22.83,19.14,16.39,22.23
1984,14.89,14.82,19.9,24.63,26.09,28.03,27.26,28.38,25.03,21.49,18.91,17.69,22.28
1985,17.21,15.54,20.94,23.51,26.46,28.41,27.97,26.9,24.39,22.77,19.92,16.75,22.61
1986,13.52,16.2,20.12,24.28,26.63,28.23,27.39,25.43,25.13,23.25,20.68,17.35,22.38
1987,15.81,17.35,20.65,23.4,26.72,28.48,28.25,28.01,25.38,23.46,19.45,16.17,22.79
1988,15.79,18.34,20.49,24.76,26.81,29.12,26.37,26.29,24.77,22.67,20.43,18.95,22.9
1989,14.77,17.59,19.52,23.52,26.12,28.53,26.51,27.14,24.46,23.11,21.31,18.91,22.64
1990,17.58,19.26,20.36,25.14,27.17,28.7,28.77,28.07,25.61,22.64,20.6,18.09,23.52
1991,18.09,17.71,21.36,24.79,26.99,27.74,29.16,26.3,24.27,21.53,19.48,17.88,22.97
1992,15.58,17,18.27,22.06,26.83,28.27,27.72,27.66,25.25,23.23,20.01,18.82,22.57
1993,16.17,18.36,19.8,23.48,26.81,27.93,30.34,28.72,26.96,22.58,20.76,18.26,23.37
1994,16.18,16.77,20.85,24.15,27.26,29.09,30.94,30.83,26.83,23.75,21.76,18.03,23.91
1995,16.7,18.14,20.36,22.97,27.36,29.09,29.95,28.07,25.67,24.24,20.23,19.49,23.56
1996,17.51,17.54,21.62,24.73,27.43,27.89,29.43,27.61,25.73,22.67,19.86,17.3,23.29
1997,16.11,17.95,20.97,22.66,27.45,28.66,30.45,30.14,26.94,25.23,21.85,18.94,23.98
1998,17.16,18.32,21.84,24.86,28.58,30.29,30.31,28.49,26.55,24.32,20.5,19.29,24.24
1999,16.79,18.42,19.27,24.16,27.37,28.61,29.39,28.35,25.55,23.57,21.18,17.67,23.38
2000,16.68,15.99,18.87,24.33,27.12,28.25,27.32,28.18,25.83,24.31,21.96,18.02,23.09
2001,15.14,16.26,21.21,24.24,28.56,29.22,30.44,28.62,27.12,24.45,20.09,19.43,23.78
2002,16.73,16.28,21.66,24.76,27.23,29.12,28.75,28.77,26.06,23.82,21.34,19.16,23.68
2003,16.65,18.25,20.56,24.5,27.87,29.49,28.37,28.72,26.27,23.65,21.67,17.79,23.67
2004,17.17,16.21,19.86,26.07,26.76,28.42,27.57,26.7,24.86,22.75,21.01,18.81,23.03
2005,15.81,18.23,21.78,23.76,26.97,29.34,28.47,28.81,25.23,22.35,20.93,16.67,23.22
